dover|Wed Feb 12 17:02:39 2020|2950535602960844:Tony Stark|0|47|23|24|68 |bitNor:1:1:2:3 |bitAnd:1:1:2:4 |tmin:1:1:2:1 |thirdBits:1:1:2:4 |isEqual:2:2:2:2 |byteSwap:2:2:2:15 |oddBits:2:2:2:4 |floatNegate:2:2:2:6 |sign:2:2:2:4 |isAsciiDigit:3:3:2:7 |logicalShift:0:3:0:5 |addOK:3:3:2:7 |bitMask:3:3:2:6 |logicalNeg:0:4:0:0 |floatScale2:0:4:0:0
dover|Wed Feb 12 17:05:03 2020|2950535602960844:Tony Stark|0|47|23|24|67 |bitNor:1:1:2:3 |bitAnd:1:1:2:4 |tmin:1:1:2:1 |thirdBits:1:1:2:4 |isEqual:2:2:2:2 |byteSwap:2:2:2:15 |oddBits:2:2:2:4 |floatNegate:2:2:2:5 |sign:2:2:2:4 |isAsciiDigit:3:3:2:7 |logicalShift:0:3:0:5 |addOK:3:3:2:7 |bitMask:3:3:2:6 |logicalNeg:0:4:0:0 |floatScale2:0:4:0:0
dover|Wed Feb 12 17:19:36 2020|2950535602960844:Tony Stark|0|52|26|26|68 |bitNor:1:1:2:3 |bitAnd:1:1:2:4 |tmin:1:1:2:1 |thirdBits:1:1:2:4 |isEqual:2:2:2:2 |byteSwap:2:2:2:15 |oddBits:2:2:2:4 |floatNegate:2:2:2:5 |sign:2:2:2:4 |isAsciiDigit:3:3:2:7 |logicalShift:3:3:2:6 |addOK:3:3:2:7 |bitMask:3:3:2:6 |logicalNeg:0:4:0:0 |floatScale2:0:4:0:0
dover|Wed Feb 12 18:29:01 2020|2950535602960844:Tony Stark|0|58|30|28|82 |bitNor:1:1:2:3 |bitAnd:1:1:2:4 |tmin:1:1:2:1 |thirdBits:1:1:2:4 |isEqual:2:2:2:2 |byteSwap:2:2:2:15 |oddBits:2:2:2:4 |floatNegate:2:2:2:5 |sign:2:2:2:4 |isAsciiDigit:3:3:2:7 |logicalShift:3:3:2:6 |addOK:3:3:2:7 |bitMask:3:3:2:6 |logicalNeg:0:4:0:0 |floatScale2:4:4:2:14
dover|Wed Feb 12 18:34:38 2020|2950535602960844:Tony Stark|0|58|30|28|79 |bitNor:1:1:2:3 |bitAnd:1:1:2:4 |tmin:1:1:2:1 |thirdBits:1:1:2:4 |isEqual:2:2:2:2 |byteSwap:2:2:2:15 |oddBits:2:2:2:4 |floatNegate:2:2:2:5 |sign:2:2:2:4 |isAsciiDigit:3:3:2:7 |logicalShift:3:3:2:6 |addOK:3:3:2:7 |bitMask:3:3:2:6 |logicalNeg:0:4:0:0 |floatScale2:4:4:2:11
dover|Wed Feb 12 19:04:34 2020|2950535602960844:Tony Stark|0|64|34|30|84 |bitNor:1:1:2:3 |bitAnd:1:1:2:4 |tmin:1:1:2:1 |thirdBits:1:1:2:4 |isEqual:2:2:2:2 |byteSwap:2:2:2:15 |oddBits:2:2:2:4 |floatNegate:2:2:2:5 |sign:2:2:2:4 |isAsciiDigit:3:3:2:7 |logicalShift:3:3:2:6 |addOK:3:3:2:7 |bitMask:3:3:2:6 |logicalNeg:4:4:2:5 |floatScale2:4:4:2:11
dover|Wed Feb 12 21:03:08 2020|2802808643607609:not-bit-hacker|0|58|30|28|78 |bitNor:1:1:2:3 |bitAnd:1:1:2:4 |tmin:1:1:2:1 |thirdBits:1:1:2:4 |isEqual:2:2:2:2 |byteSwap:2:2:2:14 |oddBits:2:2:2:4 |floatNegate:2:2:2:8 |sign:2:2:2:4 |isAsciiDigit:3:3:2:11 |logicalShift:3:3:2:6 |addOK:3:3:2:6 |bitMask:3:3:2:6 |logicalNeg:4:4:2:5 |floatScale2:0:4:0:0
dover|Wed Feb 12 21:04:15 2020|2802808643607609:not-bit-hacker|0|64|34|30|95 |bitNor:1:1:2:3 |bitAnd:1:1:2:4 |tmin:1:1:2:1 |thirdBits:1:1:2:4 |isEqual:2:2:2:2 |byteSwap:2:2:2:14 |oddBits:2:2:2:4 |floatNegate:2:2:2:8 |sign:2:2:2:4 |isAsciiDigit:3:3:2:11 |logicalShift:3:3:2:6 |addOK:3:3:2:6 |bitMask:3:3:2:6 |logicalNeg:4:4:2:5 |floatScale2:4:4:2:17
dover|Wed Feb 12 21:04:45 2020|2802808643607609:not-bit-hacker|0|58|30|28|78 |bitNor:1:1:2:3 |bitAnd:1:1:2:4 |tmin:1:1:2:1 |thirdBits:1:1:2:4 |isEqual:2:2:2:2 |byteSwap:2:2:2:14 |oddBits:2:2:2:4 |floatNegate:2:2:2:8 |sign:2:2:2:4 |isAsciiDigit:3:3:2:11 |logicalShift:3:3:2:6 |addOK:3:3:2:6 |bitMask:3:3:2:6 |logicalNeg:4:4:2:5 |floatScale2:0:4:0:0
dover|Thu Feb 13 08:33:24 2020|3707364762783764:Tyson|0|53|27|26|80 |bitNor:1:1:2:3 |bitAnd:1:1:2:4 |tmin:1:1:2:1 |thirdBits:1:1:2:4 |isEqual:2:2:2:2 |byteSwap:2:2:2:16 |oddBits:2:2:2:4 |floatNegate:2:2:2:8 |sign:2:2:2:4 |isAsciiDigit:0:3:0:0 |logicalShift:3:3:2:6 |addOK:3:3:2:13 |bitMask:3:3:2:9 |logicalNeg:4:4:2:6 |floatScale2:0:4:0:0
