houser-2015.campus.bowdoin.edu|Fri Sep 20 13:16:48 2019|yxi:John Doe|0|32|14|18|33 |maxVal:1:1:2:2 |negCheck:1:1:2:2 |lsbCopy:1:1:2:2 |andBits:1:1:2:4 |xorBits:1:1:2:7 |setThirdBits:2:2:2:4 |byteExtract:2:2:2:3 |bitFit:0:2:0:0 |byteSwitch:0:2:0:0 |addOverflow:3:3:2:7 |shiftLogical:0:3:0:0 |not:0:3:0:0 |signMagnitude:0:3:0:0 |fp_abs:2:2:2:2 |fp_twice:0:3:0:0
houser-2015.campus.bowdoin.edu|Fri Sep 20 18:04:56 2019|saharder:AngryPenguin|0|42|20|22|51 |maxVal:1:1:2:2 |negCheck:1:1:2:2 |lsbCopy:1:1:2:2 |andBits:1:1:2:4 |xorBits:1:1:2:7 |setThirdBits:2:2:2:6 |byteExtract:2:2:2:3 |bitFit:0:2:0:0 |byteSwitch:0:2:0:0 |addOverflow:3:3:2:8 |shiftLogical:0:3:0:0 |not:3:3:2:6 |signMagnitude:3:3:2:9 |fp_abs:2:2:2:2 |fp_twice:0:3:0:0
houser-2015.campus.bowdoin.edu|Sat Sep 21 20:12:16 2019|yxi:John Doe|0|36|16|20|52 |maxVal:1:1:2:2 |negCheck:1:1:2:2 |lsbCopy:1:1:2:2 |andBits:1:1:2:4 |xorBits:1:1:2:7 |setThirdBits:2:2:2:4 |byteExtract:2:2:2:3 |bitFit:0:2:0:0 |byteSwitch:2:2:2:15 |addOverflow:3:3:2:7 |shiftLogical:0:3:0:0 |not:0:3:0:0 |signMagnitude:0:3:0:4 |fp_abs:2:2:2:2 |fp_twice:0:3:0:0
houser-2015.campus.bowdoin.edu|Sat Sep 21 21:16:05 2019|hxu:help|0|15|5|10|23 |maxVal:1:1:2:2 |negCheck:1:1:2:2 |lsbCopy:1:1:2:2 |andBits:1:1:2:4 |xorBits:1:1:2:7 |setThirdBits:0:2:0:0 |byteExtract:0:2:0:0 |bitFit:0:2:0:0 |byteSwitch:0:2:0:5 |addOverflow:0:3:0:0 |shiftLogical:0:3:0:1 |not:0:3:0:0 |signMagnitude:0:3:0:0 |fp_abs:0:2:0:0 |fp_twice:0:3:0:0
houser-2015.campus.bowdoin.edu|Sat Sep 21 21:24:15 2019|hxu:help|0|15|5|10|23 |maxVal:1:1:2:2 |negCheck:1:1:2:2 |lsbCopy:1:1:2:2 |andBits:1:1:2:4 |xorBits:1:1:2:7 |setThirdBits:0:2:0:0 |byteExtract:0:2:0:0 |bitFit:0:2:0:0 |byteSwitch:0:2:0:5 |addOverflow:0:3:0:0 |shiftLogical:0:3:0:1 |not:0:3:0:0 |signMagnitude:0:3:0:0 |fp_abs:0:2:0:0 |fp_twice:0:3:0:0
houser-2015.campus.bowdoin.edu|Sun Sep 22 11:30:15 2019|yxi:John Doe|0|36|16|20|51 |maxVal:1:1:2:2 |negCheck:1:1:2:2 |lsbCopy:1:1:2:2 |andBits:1:1:2:4 |xorBits:1:1:2:7 |setThirdBits:2:2:2:4 |byteExtract:2:2:2:3 |bitFit:0:2:0:0 |byteSwitch:2:2:2:15 |addOverflow:3:3:2:6 |shiftLogical:0:3:0:0 |not:0:3:0:0 |signMagnitude:0:3:0:4 |fp_abs:2:2:2:2 |fp_twice:0:3:0:0
houser-2015.campus.bowdoin.edu|Sun Sep 22 11:51:53 2019|yxi:John Doe|0|36|16|20|51 |maxVal:1:1:2:2 |negCheck:1:1:2:2 |lsbCopy:1:1:2:2 |andBits:1:1:2:4 |xorBits:1:1:2:7 |setThirdBits:2:2:2:4 |byteExtract:2:2:2:3 |bitFit:0:2:0:0 |byteSwitch:2:2:2:15 |addOverflow:3:3:2:6 |shiftLogical:0:3:0:0 |not:0:3:0:0 |signMagnitude:0:3:0:4 |fp_abs:2:2:2:2 |fp_twice:0:3:0:0
houser-2015.campus.bowdoin.edu|Sun Sep 22 13:03:14 2019|khancock:jimmy_neutron|0|45|23|22|76 |maxVal:0:1:0:0 |negCheck:0:1:0:1 |lsbCopy:1:1:2:2 |andBits:1:1:2:4 |xorBits:1:1:2:8 |setThirdBits:0:2:0:1 |byteExtract:2:2:2:3 |bitFit:2:2:2:10 |byteSwitch:2:2:2:20 |addOverflow:3:3:2:6 |shiftLogical:3:3:2:6 |not:3:3:2:5 |signMagnitude:3:3:2:5 |fp_abs:2:2:2:5 |fp_twice:0:3:0:0
houser-2015.campus.bowdoin.edu|Sun Sep 22 15:00:22 2019|yxi:John Doe|0|41|19|22|57 |maxVal:1:1:2:2 |negCheck:1:1:2:2 |lsbCopy:1:1:2:2 |andBits:1:1:2:4 |xorBits:1:1:2:7 |setThirdBits:2:2:2:4 |byteExtract:2:2:2:3 |bitFit:0:2:0:0 |byteSwitch:2:2:2:15 |addOverflow:3:3:2:6 |shiftLogical:0:3:0:0 |not:3:3:2:6 |signMagnitude:0:3:0:4 |fp_abs:2:2:2:2 |fp_twice:0:3:0:0
houser-2015.campus.bowdoin.edu|Sun Sep 22 18:48:56 2019|hxu:bark|0|23|9|14|41 |maxVal:1:1:2:2 |negCheck:1:1:2:2 |lsbCopy:1:1:2:2 |andBits:1:1:2:4 |xorBits:1:1:2:7 |setThirdBits:2:2:2:4 |byteExtract:2:2:2:5 |bitFit:0:2:0:0 |byteSwitch:0:2:0:12 |addOverflow:0:3:0:0 |shiftLogical:0:3:0:3 |not:0:3:0:0 |signMagnitude:0:3:0:0 |fp_abs:0:2:0:0 |fp_twice:0:3:0:0
